epoch,container,mem_bytes,mem_perc,cpu_perc,restarts
1788760076,event_collector,51621396,9.62,10.46,0
1788760076,scoring_engine,45350912,8.45,6.65,0
1788760076,config_service,43400560,8.08,0.10,0
1788760076,siem_api,51359252,9.57,3.41,0
1788760138,event_collector,54819553,10.21,10.06,0
1788760138,scoring_engine,45004881,8.38,6.48,0
1788760138,config_service,43411046,8.09,0.10,0
1788760138,siem_api,59003371,10.99,2.51,0
1788760201,event_collector,57849937,10.77,8.33,0
1788760201,scoring_engine,45917143,8.55,5.33,0
1788760201,config_service,43411046,8.09,0.11,0
1788760201,siem_api,60932751,11.35,2.71,0
1788760263,event_collector,58940456,10.98,9.47,0
1788760263,scoring_engine,46368030,8.64,5.51,0
1788760263,config_service,43411046,8.09,0.12,0
1788760263,siem_api,60051947,11.18,3.23,0
1788760326,event_collector,59506688,11.08,13.66,0
1788760326,scoring_engine,46976204,8.75,8.62,0
1788760326,config_service,43400560,8.08,0.14,0
1788760326,siem_api,57787023,10.76,2.82,0
1788760388,event_collector,59506688,11.08,10.23,0
1788760388,scoring_engine,47804579,8.90,6.35,0
1788760388,config_service,43400560,8.08,0.12,0
1788760388,siem_api,58730741,10.94,3.18,0
1788760451,event_collector,59716403,11.12,10.12,0
1788760451,scoring_engine,47846522,8.91,6.23,0
1788760451,config_service,43400560,8.08,0.10,0
1788760451,siem_api,58458112,10.89,2.65,0
1788760513,event_collector,59726888,11.12,10.45,0
1788760513,scoring_engine,47752151,8.89,6.03,0
1788760513,config_service,43400560,8.08,0.12,0
1788760513,siem_api,58625884,10.92,2.50,0
1788760576,event_collector,58867056,10.96,9.64,0
1788760576,scoring_engine,48244981,8.99,6.07,0
1788760576,config_service,43400560,8.08,0.11,0
1788760576,siem_api,58625884,10.92,3.15,0
1788760638,event_collector,61394124,11.44,8.50,0
1788760638,scoring_engine,48035266,8.95,5.11,0
1788760638,config_service,43400560,8.08,0.11,0
1788760638,siem_api,58552483,10.91,4.61,0
1788760700,event_collector,61666754,11.49,10.41,0
1788760700,scoring_engine,47521464,8.85,6.70,0
1788760700,config_service,43400560,8.08,0.12,0
1788760700,siem_api,59024343,10.99,5.50,0
1788760763,event_collector,61530439,11.46,11.17,0
1788760763,scoring_engine,47510978,8.85,6.98,0
1788760763,config_service,43400560,8.08,0.11,0
1788760763,siem_api,58636369,10.92,3.11,0
1788760825,event_collector,61761126,11.50,10.35,0
1788760825,scoring_engine,48402268,9.01,6.09,0
1788760825,config_service,43400560,8.08,0.10,0
1788760825,siem_api,58667827,10.93,4.49,0
1788760887,event_collector,60943237,11.35,9.03,0
1788760887,scoring_engine,47783608,8.90,5.41,0
1788760887,config_service,43400560,8.08,0.14,0
1788760887,siem_api,60030976,11.18,6.25,0
1788760950,event_collector,61845012,11.52,8.62,0
1788760950,scoring_engine,48349839,9.00,5.33,0
1788760950,config_service,43400560,8.08,0.12,0
1788760950,siem_api,59171143,11.02,6.26,0
1788761012,event_collector,62128128,11.57,9.24,0
1788761012,scoring_engine,48244981,8.99,6.11,0
1788761012,config_service,43400560,8.08,0.10,0
1788761012,siem_api,59464744,11.08,3.08,0
1788761075,event_collector,60282634,11.23,9.10,0
1788761075,scoring_engine,48674897,9.07,5.85,0
1788761075,config_service,43400560,8.08,0.12,0
1788761075,siem_api,59663974,11.11,3.03,0
1788761137,event_collector,60576235,11.28,9.27,0
1788761137,scoring_engine,49010442,9.13,5.92,0
1788761137,config_service,43400560,8.08,0.13,0
1788761137,siem_api,60240691,11.22,4.21,0
1788761199,event_collector,61079552,11.38,10.35,0
1788761199,scoring_engine,48496640,9.03,6.41,0
1788761199,config_service,43400560,8.08,0.12,0
1788761199,siem_api,60104376,11.20,3.95,0
1788761262,event_collector,61897441,11.53,9.39,0
1788761262,scoring_engine,48874127,9.10,5.66,0
1788761262,config_service,43400560,8.08,0.10,0
1788761262,siem_api,60492349,11.27,5.17,0
1788761324,event_collector,61708697,11.49,10.80,0
1788761324,scoring_engine,48591011,9.05,6.82,0
1788761324,config_service,43400560,8.08,0.12,0
1788761324,siem_api,60366520,11.24,2.71,0
1788761387,event_collector,61069066,11.38,9.62,0
1788761387,scoring_engine,48916070,9.11,6.07,0
1788761387,config_service,43400560,8.08,0.12,0
1788761387,siem_api,60135833,11.20,3.43,0
1788761449,event_collector,61341696,11.43,8.99,0
1788761449,scoring_engine,49262100,9.18,6.19,0
1788761449,config_service,43400560,8.08,0.09,0
1788761449,siem_api,60817408,11.33,3.08,0
1788761511,event_collector,61079552,11.38,10.07,0
1788761511,scoring_engine,48947527,9.12,6.15,0
1788761511,config_service,43400560,8.08,0.09,0
1788761511,siem_api,60460892,11.26,3.02,0
1788761574,event_collector,61152952,11.39,9.91,0
1788761574,scoring_engine,48570040,9.05,6.25,0
1788761574,config_service,43400560,8.08,0.12,0
1788761574,siem_api,60691578,11.31,7.22,0
1788761636,event_collector,59989032,11.17,10.88,0
1788761636,scoring_engine,48779755,9.09,6.79,0
1788761636,config_service,43400560,8.08,0.13,0
1788761636,siem_api,60387491,11.25,2.84,0
1788761698,event_collector,61027123,11.37,10.79,0
1788761698,scoring_engine,48328867,9.00,7.25,0
1788761698,config_service,43400560,8.08,0.12,0
1788761698,siem_api,60607692,11.29,1.55,0
1788761761,event_collector,61131980,11.39,11.99,0
1788761761,scoring_engine,49167728,9.16,7.42,0
1788761761,config_service,43400560,8.08,0.12,0
1788761761,siem_api,60827893,11.33,2.03,0
1788761823,event_collector,60366520,11.24,9.34,0
1788761823,scoring_engine,49020928,9.13,5.91,0
1788761823,config_service,43400560,8.08,0.13,0
1788761823,siem_api,60880322,11.34,4.86,0
1788761886,event_collector,60712550,11.31,11.63,0
1788761886,scoring_engine,49010442,9.13,7.38,0
1788761886,config_service,43400560,8.08,0.13,0
1788761886,siem_api,61194895,11.40,2.87,0
1788761948,event_collector,60230205,11.22,10.67,0
1788761948,scoring_engine,48916070,9.11,6.59,0
1788761948,config_service,43400560,8.08,0.13,0
1788761948,siem_api,61215866,11.40,4.12,0
1788762010,event_collector,60010004,11.18,9.86,0
1788762010,scoring_engine,49188700,9.16,6.08,0
1788762010,config_service,43400560,8.08,0.11,0
1788762010,siem_api,61813555,11.51,8.32,0
1788762073,event_collector,59601059,11.10,11.12,0
1788762073,scoring_engine,49534730,9.23,6.71,0
1788762073,config_service,43400560,8.08,0.15,0
1788762073,siem_api,61865984,11.52,5.50,0
1788762136,event_collector,57996738,10.80,7.09,0
1788762136,scoring_engine,49125785,9.15,5.58,0
1788762136,config_service,41984983,7.82,0.11,0
1788762136,siem_api,60744007,11.31,8.51,0
1788762198,event_collector,59464744,11.08,9.33,0
1788762198,scoring_engine,48947527,9.12,7.55,0
1788762198,config_service,41984983,7.82,0.12,0
1788762198,siem_api,61268295,11.41,8.85,0
1788762261,event_collector,59370373,11.06,10.79,0
1788762261,scoring_engine,48517611,9.04,6.92,0
1788762261,config_service,41984983,7.82,0.13,0
1788762261,siem_api,60481863,11.27,3.94,0
1788762323,event_collector,59747860,11.13,10.20,0
1788762323,scoring_engine,48611983,9.05,6.49,0
1788762323,config_service,41984983,7.82,0.12,0
1788762323,siem_api,61425582,11.44,6.00,0
1788762385,event_collector,59160657,11.02,9.98,0
1788762385,scoring_engine,48182067,8.97,6.22,0
1788762385,config_service,41984983,7.82,0.11,0
1788762385,siem_api,61373153,11.43,6.32,0
1788762448,event_collector,59810775,11.14,11.55,0
1788762448,scoring_engine,48528097,9.04,7.26,0
1788762448,config_service,41984983,7.82,0.10,0
1788762448,siem_api,61215866,11.40,4.05,0
1788762510,event_collector,59800289,11.14,10.52,0
1788762510,scoring_engine,48695869,9.07,6.62,0
1788762510,config_service,41984983,7.82,0.10,0
1788762510,siem_api,60880322,11.34,3.31,0
1788762573,event_collector,59653488,11.11,8.71,0
1788762573,scoring_engine,48685383,9.07,5.44,0
1788762573,config_service,41984983,7.82,0.11,0
1788762573,siem_api,62138613,11.57,4.45,0
1788762635,event_collector,59454259,11.07,8.81,0
1788762635,scoring_engine,48758784,9.08,5.21,0
1788762635,config_service,41984983,7.82,0.10,0
1788762635,siem_api,61698211,11.49,5.54,0
1788762697,event_collector,59705917,11.12,9.73,0
1788762697,scoring_engine,48339353,9.00,6.24,0
1788762697,config_service,41984983,7.82,0.12,0
1788762697,siem_api,61719183,11.50,5.93,0
1788762760,event_collector,59842232,11.15,9.46,0
1788762760,scoring_engine,48140124,8.97,6.12,0
1788762760,config_service,41984983,7.82,0.10,0
1788762760,siem_api,62044241,11.56,5.97,0
1788762822,event_collector,59726888,11.13,10.71,0
1788762822,scoring_engine,48045752,8.95,6.94,0
1788762822,config_service,41984983,7.82,0.13,0
1788762822,siem_api,62652416,11.67,7.68,0
1788762884,event_collector,59674460,11.11,9.40,0
1788762884,scoring_engine,48611983,9.05,6.39,0
1788762884,config_service,41984983,7.82,0.12,0
1788762884,siem_api,62285414,11.60,4.89,0
1788762947,event_collector,60072919,11.19,11.80,0
